사람,기관,세부항목,종목명,수량,매수단가,현재가,매수일자,비고
아빠,미래에셋증권,국내주식,삼성전자,900,72300,84500,2023-05-12,
아빠,미래에셋증권,국내주식,SK하이닉스,180,128000,195000,2024-02-20,
아빠,미래에셋증권,국내주식,현대차,90,198000,246000,2024-07-15,
아빠,미래에셋증권,해외주식 ETF,TIGER 미국S&P500,3660,17200,24800,2023-03-10,
아빠,미래에셋증권,해외주식 ETF,TIGER 미국나스닥100,20,95000,120000,2025-06-18,
아빠,한국투자증권,국내주식,NAVER,150,215000,182000,2023-11-03,
아빠,한국투자증권,국내주식,카카오,400,58000,48525,2024-01-08,
아빠,한국투자증권,국내주식,기아,150,88000,105000,2024-09-11,
아빠,토스증권,국내주식,두산에너빌리티,500,21000,32400,2025-02-14,
아빠,토스증권,국내주식,삼성바이오로직스,10,780000,976200,2024-11-26,
엄마,키움증권,국내주식,삼성전자,300,78000,84500,2024-03-22,
엄마,키움증권,국내주식,LG에너지솔루션,60,420000,385000,2023-09-05,
엄마,키움증권,국내주식,셀트리온,100,178000,135500,2024-05-30,
엄마,NH투자증권,해외주식 ETF,KODEX 미국나스닥100,800,15600,18900,2025-04-03,
