이용일자,이용하신곳,이용금액,할부,업종
2025.10.01,ABC마트,"218,600",일시불,
2025.10.02,하이패스 통행료,"91,100",일시불,
2025.10.03,ABC마트,"126,500",일시불,
2025.10.03,경조사비,"212,800",일시불,
2025.10.03,교보문고 광화문,"65,600",일시불,
2025.10.03,스마트짐 피트니스,"150,000",일시불,
2025.10.03,카카오T 택시,"159,400",일시불,
2025.10.04,신세계백화점 강남점,"162,400",일시불,
2025.10.05,SK에너지 양재점,"141,300",일시불,
2025.10.06,투썸플레이스,"72,400",일시불,
2025.10.08,교촌치킨,"47,900",일시불,
2025.10.08,넷플릭스,"17,000",일시불,
2025.10.08,투썸플레이스,"61,000",일시불,
2025.10.09,CGV 강남,"30,700",일시불,
2025.10.09,한우명가,"28,000",일시불,
2025.10.10,CGV 강남,"57,700",일시불,
2025.10.12,GS칼텍스 논현주유소,"103,800",일시불,
2025.10.14,쿠팡이츠,"36,700",일시불,
2025.10.16,예스24,"112,000",일시불,
2025.10.18,투썸플레이스,"70,100",일시불,
2025.10.19,경조사비,"638,600",일시불,
2025.10.19,코엑스 주차장,"89,100",일시불,
2025.10.20,본죽 강남점,"71,800",일시불,
2025.10.21,아웃백 코엑스,"52,800",일시불,
2025.10.21,아웃백 코엑스,"60,400",일시불,
2025.10.22,GS칼텍스 논현주유소,"105,600",일시불,
2025.10.22,곤지암리조트,"228,600",일시불,
2025.10.22,쿠팡이츠,"38,800",일시불,
2025.10.25,GS칼텍스 논현주유소,"53,400",일시불,
2025.10.25,롯데월드,"49,000",일시불,
2025.10.25,카카오T 택시,"166,300",일시불,
2025.10.27,스타벅스 역삼점,"57,400",일시불,
2025.10.27,아웃백 코엑스,"67,700",일시불,
2025.11.03,스마트짐 피트니스,"150,000",일시불,
2025.11.03,스타벅스 역삼점,"59,300",일시불,
2025.11.04,CGV 강남,"83,600",일시불,
2025.11.04,롯데월드,"42,100",일시불,
2025.11.04,코엑스 주차장,"72,900",일시불,
2025.11.06,곤지암리조트,"80,500",일시불,
2025.11.06,투썸플레이스,"75,600",일시불,
2025.11.08,교보문고 광화문,"43,400",일시불,
2025.11.08,넷플릭스,"17,000",일시불,
2025.11.08,신세계백화점 강남점,"178,700",일시불,
2025.11.09,하이패스 통행료,"91,000",일시불,
2025.11.10,쿠팡이츠,"34,400",일시불,
2025.11.11,GS칼텍스 논현주유소,"77,700",일시불,
2025.11.11,신세계백화점 강남점,"174,200",일시불,
2025.11.11,투썸플레이스,"49,400",일시불,
2025.11.13,하이패스 통행료,"60,600",일시불,
2025.11.14,교촌치킨,"45,100",일시불,
2025.11.15,예스24,"43,600",일시불,
2025.11.15,투썸플레이스,"59,000",일시불,
2025.11.16,CGV 강남,"102,300",일시불,
2025.11.17,곤지암리조트,"46,100",일시불,
2025.11.20,SK에너지 양재점,"91,900",일시불,
2025.11.21,GS칼텍스 논현주유소,"84,500",일시불,
2025.11.21,배달의민족,"49,600",일시불,
2025.11.22,본죽 강남점,"42,300",일시불,
2025.11.22,코엑스 주차장,"32,900",일시불,
2025.11.23,ABC마트,"102,100",일시불,
2025.11.23,경조사비,"83,400",일시불,
2025.11.24,한우명가,"80,800",일시불,
2025.11.25,투썸플레이스,"103,200",일시불,
2025.11.26,아웃백 코엑스,"31,600",일시불,
2025.11.26,코엑스 주차장,"83,500",일시불,
2025.11.26,쿠팡이츠,"34,700",일시불,
2025.12.01,교보문고 광화문,"129,800",일시불,
2025.12.03,스마트짐 피트니스,"150,000",일시불,
2025.12.03,스타벅스 역삼점,"112,700",일시불,
2025.12.03,하이패스 통행료,"87,600",일시불,
2025.12.06,스타벅스 역삼점,"38,900",일시불,
2025.12.08,곤지암리조트,"213,300",일시불,
2025.12.08,넷플릭스,"17,000",일시불,
2025.12.08,투썸플레이스,"127,000",일시불,
2025.12.09,교보문고 광화문,"168,200",일시불,
2025.12.09,교촌치킨,"51,400",일시불,
2025.12.11,GS칼텍스 논현주유소,"56,200",일시불,
2025.12.11,코엑스 주차장,"89,700",일시불,
2025.12.12,GS칼텍스 논현주유소,"38,500",일시불,
2025.12.12,한우명가,"37,700",일시불,
2025.12.13,배달의민족,"46,900",일시불,
2025.12.15,코엑스 주차장,"79,100",일시불,
2025.12.15,투썸플레이스,"36,500",일시불,
2025.12.17,교촌치킨,"94,100",일시불,
2025.12.18,신세계백화점 강남점,"147,299",일시불,
2025.12.18,투썸플레이스,"115,900",일시불,
2025.12.19,GS칼텍스 논현주유소,"63,900",일시불,
2025.12.19,배달의민족,"94,200",일시불,
2025.12.19,예스24,"81,100",일시불,
2025.12.21,신세계백화점 강남점,"154,800",일시불,
2025.12.22,롯데월드,"157,400",일시불,
2025.12.22,쿠팡이츠,"127,400",일시불,
2025.12.24,제주신라호텔,"374,300",일시불,
2025.12.24,코엑스 주차장,"80,900",일시불,
2025.12.24,한우명가,"62,300",일시불,
2025.12.25,카카오T 택시,"99,100",일시불,
2025.12.27,ABC마트,"187,900",일시불,
2025.12.27,곤지암리조트,"312,400",일시불,
2025.12.27,예스24,"71,000",일시불,
2026.01.01,예스24,"94,000",일시불,
2026.01.02,신세계백화점 강남점,"39,400",일시불,
2026.01.03,스마트짐 피트니스,"150,000",일시불,
2026.01.03,코엑스 주차장,"59,400",일시불,
2026.01.04,배달의민족,"33,600",일시불,
2026.01.04,아웃백 코엑스,"94,900",일시불,
2026.01.05,배달의민족,"48,200",일시불,
2026.01.05,예스24,"240,700",일시불,
2026.01.06,ABC마트,"65,200",일시불,
2026.01.07,코엑스 주차장,"80,200",일시불,
2026.01.08,GS칼텍스 논현주유소,"40,100",일시불,
2026.01.08,곤지암리조트,"66,400",일시불,
2026.01.08,넷플릭스,"17,000",일시불,
2026.01.09,곤지암리조트,"77,500",일시불,
2026.01.11,투썸플레이스,"64,400",일시불,
2026.01.14,한우명가,"73,800",일시불,
2026.01.15,신세계백화점 강남점,"105,400",일시불,
2026.01.17,코엑스 주차장,"93,700",일시불,
2026.01.19,한우명가,"85,500",일시불,
2026.01.20,GS칼텍스 논현주유소,"80,500",일시불,
2026.01.20,경조사비,"66,100",일시불,
2026.01.20,예스24,"68,500",일시불,
2026.01.21,투썸플레이스,"54,300",일시불,
2026.01.22,교보문고 광화문,"90,100",일시불,
2026.01.22,아웃백 코엑스,"79,100",일시불,
2026.01.22,카카오T 택시,"61,600",일시불,
2026.01.22,코엑스 주차장,"102,000",일시불,
2026.01.25,교촌치킨,"34,000",일시불,
2026.01.27,배달의민족,"43,800",일시불,
2026.01.28,롯데월드,"114,200",일시불,
2026.01.28,본죽 강남점,"84,100",일시불,
