날짜,구분,분류,내용,금액,결제수단
2026-01-05,지출,통신비,SKT 통신요금,55000,자동이체
2026-01-05,지출,주거,행복아파트 관리비,182000,자동이체
2026-01-08,지출,식비,스타벅스 강남점,8500,카드
2026-01-15,수입,급여,1월 급여,4200000,이체
2026-01-28,지출,교육,딸 학원비,350000,이체
2026-01-31,지출,보험,삼성생명 보험료,142000,자동이체
2026-01-31,지출,보험,메리츠화재 실손보험,38000,자동이체
2026-02-05,지출,통신비,SKT 통신요금,55000,자동이체
2026-02-05,지출,주거,행복아파트 관리비,176500,자동이체
2026-02-14,지출,선물,신세계백화점,100000,카드
2026-02-15,수입,급여,2월 급여,4200000,이체
2026-02-28,지출,교육,딸 학원비,350000,이체
2026-02-28,지출,보험,삼성생명 보험료,142000,자동이체
2026-02-28,지출,보험,메리츠화재 실손보험,38000,자동이체
2026-03-05,지출,통신비,SKT 통신요금,55000,자동이체
2026-03-05,지출,주거,행복아파트 관리비,179200,자동이체
2026-03-10,지출,의료,서울대학교병원,285000,카드
2026-03-15,수입,급여,3월 급여,4200000,이체
2026-03-28,지출,교육,딸 학원비,350000,이체
2026-03-31,지출,보험,삼성생명 보험료,142000,자동이체
2026-03-31,지출,보험,메리츠화재 실손보험,38000,자동이체
