이용일자,이용하신곳,이용금액,할부,업종
2026.01.06,넷플릭스,"13,500",일시불,구독
2026.01.08,스타벅스 강남점,"8,500",일시불,카페
2026.01.12,이마트 트레이더스,"87,300",일시불,대형마트
2026.01.16,카카오T 택시,"23,400",일시불,교통
2026.01.20,CGV 강남,"28,000",일시불,문화
2026.01.22,쿠팡,"45,900",일시불,온라인쇼핑
2026.01.24,배달의민족,"32,000",일시불,배달
2026.01.26,튼튼약국,"12,400",일시불,의료
2026.01.30,고기명가,"124,000",일시불,음식점
2026.02.06,넷플릭스,"13,500",일시불,구독
2026.02.09,스타벅스 역삼점,"9,200",일시불,카페
2026.02.11,이마트,"92,400",일시불,대형마트
2026.02.14,신세계백화점,"100,000",3개월,백화점
2026.02.17,GS칼텍스 논현,"70,000",일시불,주유
2026.02.19,배달의민족,"28,500",일시불,배달
2026.02.20,신세계백화점,"-45,000",일시불,백화점
2026.02.21,쿠팡,"38,200",일시불,온라인쇼핑
2026.02.23,교보문고,"31,000",일시불,서점
2026.02.25,한솥도시락,"7,500",일시불,음식점
2026.03.06,넷플릭스,"13,500",일시불,구독
2026.03.07,스타벅스 강남점,"8,500",일시불,카페
2026.03.10,서울대학교병원,"285,000",일시불,병원
2026.03.12,이마트,"78,900",일시불,대형마트
2026.03.16,연세정형외과,"64,000",일시불,병원
2026.03.18,카카오T 택시,"18,700",일시불,교통
2026.03.20,다이소,"15,400",일시불,생활용품
2026.03.22,배달의민족,"35,600",일시불,배달
2026.03.25,예스24,"24,800",일시불,온라인쇼핑
2026.03.30,중화요리 홍문,"52,000",일시불,음식점
