날짜,구분,분류,내용,금액,결제수단
2025-10-05,지출,,리틀발레 아카데미,180000,이체
2025-10-05,지출,,숲속유치원 원비,420000,이체
2025-10-07,지출,,라온필라테스,220000,이체
2025-10-10,지출,,수학의힘 학원,550000,이체
2025-10-10,지출,,청담어학원,680000,이체
2025-10-10,지출,,한결논술교실,280000,이체
2025-10-12,지출,,소리피아노 학원,320000,이체
2025-10-12,지출,,아이비영어 교습소,450000,이체
2025-10-12,지출,,페르마수학 학원,520000,이체
2025-10-12,지출,,한빛태권도장,180000,이체
2025-10-14,지출,,유튜브 프리미엄,14900,이체
2025-10-18,지출,,DB손해보험 실손의료비,49000,이체
2025-10-18,지출,,삼성화재 어린이보험,52000,이체
2025-10-18,지출,,한화생명 암보험,75000,이체
2025-10-21,지출,,밀리의서재,9900,이체
2025-10-25,수입,,급여 이체,6200000,이체
2025-10-27,지출,,쿠팡 와우멤버십,7890,이체
2025-11-05,지출,,리틀발레 아카데미,180000,이체
2025-11-05,지출,,숲속유치원 원비,420000,이체
2025-11-07,지출,,라온필라테스,220000,이체
2025-11-10,지출,,수학의힘 학원,550000,이체
2025-11-10,지출,,청담어학원,680000,이체
2025-11-10,지출,,한결논술교실,280000,이체
2025-11-12,지출,,소리피아노 학원,320000,이체
2025-11-12,지출,,아이비영어 교습소,450000,이체
2025-11-12,지출,,페르마수학 학원,520000,이체
2025-11-12,지출,,한빛태권도장,180000,이체
2025-11-14,지출,,유튜브 프리미엄,14900,이체
2025-11-18,지출,,DB손해보험 실손의료비,49000,이체
2025-11-18,지출,,삼성화재 어린이보험,52000,이체
2025-11-18,지출,,한화생명 암보험,75000,이체
2025-11-21,지출,,밀리의서재,9900,이체
2025-11-25,수입,,급여 이체,6200000,이체
2025-11-27,지출,,쿠팡 와우멤버십,7890,이체
2025-12-05,지출,,리틀발레 아카데미,180000,이체
2025-12-05,지출,,숲속유치원 원비,420000,이체
2025-12-07,지출,,라온필라테스,220000,이체
2025-12-10,지출,,수학의힘 학원,550000,이체
2025-12-10,지출,,청담어학원,680000,이체
2025-12-10,지출,,한결논술교실,280000,이체
2025-12-12,지출,,소리피아노 학원,320000,이체
2025-12-12,지출,,아이비영어 교습소,450000,이체
2025-12-12,지출,,페르마수학 학원,520000,이체
2025-12-12,지출,,한빛태권도장,180000,이체
2025-12-14,지출,,유튜브 프리미엄,14900,이체
2025-12-18,지출,,DB손해보험 실손의료비,49000,이체
2025-12-18,지출,,삼성화재 어린이보험,52000,이체
2025-12-18,지출,,한화생명 암보험,75000,이체
2025-12-21,지출,,밀리의서재,9900,이체
2025-12-25,수입,,급여 이체,6200000,이체
2025-12-27,지출,,쿠팡 와우멤버십,7890,이체
2026-01-05,지출,,리틀발레 아카데미,180000,이체
2026-01-05,지출,,숲속유치원 원비,420000,이체
2026-01-07,지출,,라온필라테스,220000,이체
2026-01-10,지출,,수학의힘 학원,550000,이체
2026-01-10,지출,,청담어학원,680000,이체
2026-01-10,지출,,한결논술교실,280000,이체
2026-01-12,지출,,소리피아노 학원,320000,이체
2026-01-12,지출,,아이비영어 교습소,450000,이체
2026-01-12,지출,,페르마수학 학원,520000,이체
2026-01-12,지출,,한빛태권도장,180000,이체
2026-01-14,지출,,유튜브 프리미엄,14900,이체
2026-01-18,지출,,DB손해보험 실손의료비,49000,이체
2026-01-18,지출,,삼성화재 어린이보험,52000,이체
2026-01-18,지출,,한화생명 암보험,75000,이체
2026-01-21,지출,,밀리의서재,9900,이체
2026-01-25,수입,,급여 이체,6200000,이체
